ナンバリング,Places
180203,"具体的な地名, 高雄方面, 大徳寺周辺, 哲学の道周辺, 平安神宮周辺, 哲学の道周辺, 醍醐寺周辺, 京都駅周辺, その他ＪＲ駅"
90088,"ＪＲ京都駅（新幹線）, 三十三間堂周辺, 哲学の道周辺, 銀閣寺周辺, 清水寺周辺, 京都市内の宿泊施設"
290068,"具体的な地名, 具体的な地名, 具体的な地名, 具体的な地名, 具体的な地名, 不明"
300047,"ＪＲ京都駅（新幹線）, 具体的な地名, 平安神宮周辺, 京都市内の宿泊施設"
350725,"京都市内の宿泊施設, 太秦方面, 京都駅周辺, 不明"
300204,"ＪＲ京都駅（新幹線）, 光悦寺周辺, 大徳寺周辺, 京都市内の宿泊施設, 祇園方面, 京都市内の宿泊施設"
70250,None
110005,"京都市内の自宅・知人宅, 京阪駅, 不明"
190391,"不明, 東寺周辺, 三十三間堂周辺, 河原町・新京極方面, 祇園方面, 伏見稲荷大社周辺, 具体的な地名"
311421,"ＪＲ京都駅（在来線）, 具体的な地名, 具体的な地名, 京都駅周辺, ＪＲ京都駅（在来線）"
10743,"名神京都東インター, 嵯峨野方面, 平安神宮周辺, 清水寺周辺, 不明"
80144,"京阪駅, 哲学の道周辺, 不明"
150128,"京都市内の宿泊施設, ＪＲ京都駅（新幹線）, 二条城周辺, 桂離宮周辺, 不明"
10595,"ＪＲ京都駅（在来線）, 松尾大社周辺, 河原町・新京極方面, 祇園方面, 清水寺周辺, 京都駅周辺, ＪＲ京都駅（在来線）"
250044,"阪急駅, 祇園方面, 祇園方面, 阪急駅"
